,CustomerID,Total_value,M,Loyalty_levels,Cluster
0,12346.0,1.0,4,Silver,3
1,12347.0,4310.000000000001,1,Diamond,0
2,12348.0,1797.24,1,Diamond,0
3,12349.0,1757.5500000000002,1,Diamond,0
4,12350.0,334.40000000000003,3,Gold,1
5,12352.0,1545.4100000000005,2,Platinum,0
6,12353.0,89.0,4,Silver,1
7,12354.0,1079.3999999999999,2,Platinum,0
8,12355.0,459.4,3,Gold,1
9,12356.0,2811.43,1,Diamond,0
10,12357.0,6207.67,1,Diamond,0
11,12358.0,1168.06,2,Platinum,0
12,12359.0,6182.98,1,Diamond,0
13,12360.0,2662.06,1,Diamond,0
14,12361.0,189.89999999999998,4,Silver,1
15,12362.0,5154.58,1,Diamond,0
16,12363.0,552.0,3,Gold,1
17,12364.0,1313.1000000000001,2,Platinum,0
18,12365.0,320.68999999999994,3,Gold,1
19,12367.0,168.89999999999998,4,Silver,1
20,12370.0,3541.94,1,Diamond,0
21,12371.0,1887.96,1,Diamond,0
22,12372.0,1298.0400000000002,2,Platinum,0
23,12373.0,364.6,3,Gold,1
24,12374.0,742.93,2,Platinum,1
25,12375.0,455.42,3,Gold,1
26,12377.0,1628.12,1,Diamond,0
27,12378.0,4008.62,1,Diamond,0
28,12379.0,850.29,2,Platinum,0
29,12380.0,2720.56,1,Diamond,0
30,12381.0,1803.96,1,Diamond,0
31,12383.0,1839.3100000000002,1,Diamond,0
32,12384.0,566.16,3,Gold,1
33,12386.0,401.9,3,Gold,1
34,12388.0,2780.6600000000003,1,Diamond,0
35,12390.0,549.84,3,Gold,1
36,12391.0,439.66,3,Gold,1
37,12393.0,1582.6000000000001,2,Platinum,0
38,12394.0,1272.48,2,Platinum,0
39,12395.0,2998.28,1,Diamond,0
40,12397.0,2409.9000000000005,1,Diamond,0
41,12398.0,1635.6599999999999,1,Diamond,0
42,12399.0,1108.65,2,Platinum,0
43,12401.0,84.3,4,Silver,1
44,12402.0,225.6,4,Silver,1
45,12403.0,409.7,3,Gold,1
46,12405.0,1710.3900000000003,1,Diamond,0
47,12406.0,3280.7500000000005,1,Diamond,0
48,12407.0,1708.1199999999997,1,Diamond,0
49,12408.0,2842.57,1,Diamond,0
50,12409.0,11056.93,1,Diamond,0
51,12410.0,681.0799999999999,2,Platinum,1
52,12412.0,1226.88,2,Platinum,0
53,12413.0,694.1500000000001,2,Platinum,1
54,12414.0,562.41,3,Gold,1
55,12415.0,123725.45000000001,1,Diamond,0
56,12417.0,3578.8,1,Diamond,0
57,12418.0,668.58,2,Platinum,1
58,12420.0,600.3900000000001,3,Gold,1
59,12421.0,806.2700000000001,2,Platinum,1
60,12422.0,803.5599999999998,2,Platinum,1
61,12423.0,1849.1100000000001,1,Diamond,0
62,12424.0,1760.9599999999996,1,Diamond,0
63,12425.0,777.1999999999999,2,Platinum,1
64,12426.0,582.73,3,Gold,1
65,12427.0,708.37,2,Platinum,1
66,12428.0,7877.2,1,Diamond,0
67,12429.0,3750.4,1,Diamond,0
68,12430.0,256.4,4,Silver,1
69,12431.0,6348.89,1,Diamond,0
70,12432.0,5059.319999999999,1,Diamond,0
71,12433.0,13375.87,1,Diamond,0
72,12434.0,765.1899999999999,2,Platinum,1
73,12435.0,7829.890000000001,1,Diamond,0
74,12436.0,509.01000000000005,3,Gold,1
75,12437.0,4896.66,1,Diamond,0
76,12438.0,2906.8500000000004,1,Diamond,0
77,12441.0,173.55,4,Silver,1
78,12442.0,172.06,4,Silver,1
79,12444.0,5005.46,1,Diamond,0
80,12445.0,133.4,4,Silver,1
81,12446.0,1002.3100000000001,2,Platinum,0
82,12447.0,476.49,3,Gold,1
83,12448.0,449.4500000000001,3,Gold,1
84,12449.0,4067.2900000000004,1,Diamond,0
85,12450.0,197.88,4,Silver,1
86,12451.0,8933.52,1,Diamond,0
87,12452.0,428.57,3,Gold,1
88,12453.0,707.0899999999999,2,Platinum,1
89,12454.0,1.0,4,Silver,3
90,12455.0,2466.8599999999997,1,Diamond,0
91,12456.0,3153.89,1,Diamond,0
92,12457.0,1917.78,1,Diamond,0
93,12458.0,947.4,2,Platinum,0
94,12461.0,826.88,2,Platinum,0
95,12462.0,1124.0099999999998,2,Platinum,0
96,12463.0,1303.63,2,Platinum,0
97,12464.0,1212.05,2,Platinum,0
98,12465.0,733.89,2,Platinum,1
99,12468.0,724.04,2,Platinum,1
100,12471.0,18705.52,1,Diamond,0
101,12472.0,6229.48,1,Diamond,0
102,12473.0,2837.73,1,Diamond,0
103,12474.0,7064.7699999999995,1,Diamond,0
104,12475.0,723.3799999999999,2,Platinum,1
105,12476.0,6546.58,1,Diamond,0
106,12477.0,13117.01,1,Diamond,0
107,12478.0,680.9900000000001,2,Platinum,1
108,12479.0,477.29999999999995,3,Gold,1
109,12480.0,3281.6299999999997,1,Diamond,0
110,12481.0,5574.36,1,Diamond,0
111,12483.0,2327.13,1,Diamond,0
112,12484.0,4480.870000000001,1,Diamond,0
113,12488.0,1298.6600000000003,2,Platinum,0
114,12489.0,334.92999999999995,3,Gold,1
115,12490.0,5417.93,1,Diamond,0
116,12491.0,460.40000000000003,3,Gold,1
117,12492.0,263.21,4,Silver,1
118,12493.0,416.79,3,Gold,1
119,12494.0,1139.35,2,Platinum,0
120,12497.0,1043.1,2,Platinum,0
121,12498.0,403.7,3,Gold,1
122,12500.0,4206.27,1,Diamond,0
123,12501.0,2089.68,1,Diamond,0
124,12502.0,3723.87,1,Diamond,0
125,12503.0,1.0,4,Silver,3
126,12504.0,114.00000000000003,4,Silver,1
127,12505.0,1.0,4,Silver,3
128,12506.0,73.50000000000001,4,Silver,1
129,12507.0,1258.06,2,Platinum,0
130,12508.0,397.88,3,Gold,1
131,12509.0,176.5,4,Silver,1
132,12510.0,982.5699999999999,2,Platinum,0
133,12512.0,132.18,4,Silver,1
134,12513.0,586.7900000000001,3,Gold,1
135,12514.0,1017.6800000000001,2,Platinum,0
136,12515.0,383.70000000000005,3,Gold,1
137,12516.0,1312.06,2,Platinum,0
138,12517.0,2443.6499999999996,1,Diamond,0
139,12518.0,2056.89,1,Diamond,0
140,12519.0,330.84000000000003,3,Gold,1
141,12520.0,2582.51,1,Diamond,0
142,12521.0,599.68,3,Gold,1
143,12522.0,192.72000000000003,4,Silver,1
144,12523.0,1745.5699999999997,1,Diamond,0
145,12524.0,4485.719999999999,1,Diamond,0
146,12526.0,1316.6600000000003,2,Platinum,0
147,12527.0,348.71000000000004,3,Gold,1
148,12528.0,1922.28,1,Diamond,0
149,12530.0,1623.6300000000003,1,Diamond,0
150,12531.0,125.22,4,Silver,1
151,12532.0,349.83000000000004,3,Gold,1
152,12534.0,1089.18,2,Platinum,0
153,12535.0,716.35,2,Platinum,1
154,12536.0,4106.82,1,Diamond,0
155,12538.0,363.95,3,Gold,1
156,12539.0,3852.5,1,Diamond,0
157,12540.0,13309.039999999999,1,Diamond,0
158,12541.0,981.1800000000002,2,Platinum,0
159,12544.0,355.70000000000005,3,Gold,1
160,12545.0,1000.39,2,Platinum,0
161,12546.0,1141.5,2,Platinum,0
162,12547.0,207.8,4,Silver,1
163,12548.0,95.19999999999999,4,Silver,1
164,12550.0,964.83,2,Platinum,0
165,12551.0,168.0,4,Silver,1
166,12552.0,437.82,3,Gold,1
167,12553.0,3652.25,1,Diamond,0
168,12556.0,599.56,3,Gold,1
169,12557.0,11990.96,1,Diamond,0
170,12558.0,2.6645352591003757e-14,4,Silver,2
171,12559.0,536.2099999999999,3,Gold,1
172,12560.0,2101.3900000000003,1,Diamond,0
173,12561.0,238.85,4,Silver,1
174,12562.0,3781.74,1,Diamond,0
175,12564.0,456.90000000000003,3,Gold,1
176,12565.0,131.17000000000002,4,Silver,1
177,12566.0,346.7,3,Gold,1
178,12567.0,9114.94,1,Diamond,0
179,12569.0,4064.99,1,Diamond,0
180,12571.0,519.61,3,Gold,1
181,12572.0,1004.7199999999999,2,Platinum,0
182,12573.0,160.54,4,Silver,1
183,12574.0,218.45000000000002,4,Silver,1
184,12576.0,1306.98,2,Platinum,0
185,12577.0,564.1999999999999,3,Gold,1
186,12578.0,2753.36,1,Diamond,0
187,12579.0,410.71999999999997,3,Gold,1
188,12580.0,415.70000000000005,3,Gold,1
189,12581.0,197.70999999999998,4,Silver,1
190,12582.0,511.3599999999999,3,Gold,1
191,12583.0,7187.34,1,Diamond,0
192,12584.0,1893.9500000000003,1,Diamond,0
193,12585.0,1982.81,1,Diamond,0
194,12586.0,179.94,4,Silver,1
195,12587.0,144.0,4,Silver,1
196,12588.0,214.89999999999998,4,Silver,1
197,12589.0,646.6800000000001,2,Platinum,1
198,12590.0,9861.38,1,Diamond,0
199,12591.0,452.84999999999997,3,Gold,1
200,12592.0,437.6,3,Gold,1
201,12593.0,418.0999999999999,3,Gold,1
202,12594.0,3320.2200000000003,1,Diamond,0
203,12596.0,618.27,3,Gold,1
204,12597.0,3683.13,1,Diamond,0
205,12598.0,3002.6800000000003,1,Diamond,0
206,12599.0,1032.5800000000004,2,Platinum,0
207,12600.0,2581.04,1,Diamond,0
208,12601.0,569.5600000000001,3,Gold,1
209,12602.0,153.12,4,Silver,1
210,12603.0,739.1999999999999,2,Platinum,1
211,12604.0,254.17999999999998,4,Silver,1
212,12605.0,1.0,4,Silver,3
213,12607.0,1.0,4,Silver,3
214,12609.0,1126.8500000000001,2,Platinum,0
215,12610.0,2057.9900000000002,1,Diamond,0
216,12611.0,1193.32,2,Platinum,0
217,12612.0,643.59,3,Gold,1
218,12613.0,3218.98,1,Diamond,0
219,12614.0,315.59999999999997,3,Gold,1
220,12615.0,2291.1899999999996,1,Diamond,0
221,12616.0,657.2499999999999,2,Platinum,1
222,12617.0,352.97999999999996,3,Gold,1
223,12618.0,177.31,4,Silver,1
224,12619.0,3214.8100000000004,1,Diamond,0
225,12620.0,1339.41,2,Platinum,0
226,12621.0,13612.07,1,Diamond,0
227,12622.0,180.09999999999997,4,Silver,1
228,12623.0,305.1,3,Gold,1
229,12624.0,641.13,3,Gold,1
230,12625.0,2614.32,1,Diamond,0
231,12626.0,6388.35,1,Diamond,0
232,12627.0,4478.530000000001,1,Diamond,0
233,12628.0,769.61,2,Platinum,1
234,12630.0,1270.88,2,Platinum,0
235,12631.0,640.5,3,Gold,1
236,12633.0,2140.63,1,Diamond,0
237,12635.0,1689.1800000000003,1,Diamond,0
238,12637.0,5934.25,1,Diamond,0
239,12638.0,671.69,2,Platinum,1
240,12639.0,486.1,3,Gold,1
241,12640.0,1174.58,2,Platinum,0
242,12641.0,185.9,4,Silver,1
243,12642.0,1013.26,2,Platinum,0
244,12643.0,3344.6399999999994,1,Diamond,0
245,12644.0,477.90999999999997,3,Gold,1
246,12645.0,1755.38,1,Diamond,0
247,12646.0,1346.97,2,Platinum,0
248,12647.0,3669.92,1,Diamond,0
249,12648.0,318.04999999999995,3,Gold,1
250,12649.0,603.71,3,Gold,1
251,12650.0,314.44,3,Gold,1
252,12651.0,114.0,4,Silver,1
253,12652.0,914.53,2,Platinum,0
254,12653.0,2209.85,1,Diamond,0
255,12654.0,601.9799999999999,3,Gold,1
256,12656.0,3982.7200000000003,1,Diamond,0
257,12657.0,1152.06,2,Platinum,0
258,12658.0,686.05,2,Platinum,1
259,12659.0,91.68,4,Silver,1
260,12660.0,245.10000000000002,4,Silver,1
261,12662.0,3817.08,1,Diamond,0
262,12664.0,4863.88,1,Diamond,0
263,12665.0,61.75,4,Silver,1
264,12666.0,1.0,4,Silver,3
265,12667.0,620.1300000000001,3,Gold,1
266,12668.0,3743.1800000000003,1,Diamond,0
267,12669.0,1607.73,2,Platinum,0
268,12670.0,2986.1499999999996,1,Diamond,0
269,12672.0,225.9,4,Silver,1
270,12673.0,610.52,3,Gold,1
271,12674.0,1922.26,1,Diamond,0
272,12676.0,1331.39,2,Platinum,0
273,12678.0,17588.26,1,Diamond,0
274,12679.0,1058.67,2,Platinum,0
275,12680.0,862.8100000000002,2,Platinum,0
276,12681.0,13677.59,1,Diamond,0
